reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,01,quantile,0.01,0
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,01,quantile,0.01,0
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,01,quantile,0.01,0
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,01,quantile,0.01,0
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,01,quantile,0.025,0
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,01,quantile,0.025,0
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,01,quantile,0.025,0
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,01,quantile,0.025,0
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,01,quantile,0.05,0
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,01,quantile,0.05,0
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,01,quantile,0.05,0
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,01,quantile,0.05,0
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,01,quantile,0.1,0
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,01,quantile,0.1,0
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,01,quantile,0.1,0
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,01,quantile,0.1,0
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,01,quantile,0.15,0
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,01,quantile,0.15,0
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,01,quantile,0.15,0
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,01,quantile,0.15,0
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,01,quantile,0.2,0
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,01,quantile,0.2,0
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,01,quantile,0.2,0
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,01,quantile,0.2,0
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,01,quantile,0.25,0
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,01,quantile,0.25,0
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,01,quantile,0.25,0
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,01,quantile,0.25,0
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,01,quantile,0.3,1.8565846668613267e-4
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,01,quantile,0.3,0
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,01,quantile,0.3,0
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,01,quantile,0.3,0
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,01,quantile,0.35,0.002618479293527246
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,01,quantile,0.35,0
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,01,quantile,0.35,0
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,01,quantile,0.35,0
2025-11-15,wk inc flu prop ed visits,0,2025-11-15,01,quantile,0.4,0.005143025684863869
2025-11-15,wk inc flu prop ed visits,1,2025-11-22,01,quantile,0.4,0
2025-11-15,wk inc flu prop ed visits,2,2025-11-29,01,quantile,0.4,6.006815181931683e-4
2025-11-15,wk inc flu prop ed visits,3,2025-12-06,01,quantile,0.4,0.007402423681151586
